Keyword,Currency,Avg. monthly searches,Thay đổi trong ba tháng,Thay đổi so với cùng kỳ năm trước,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
nha trang hotel,VND,1600,0%,-45%,Cao,73,9221,48158,,,,,,3600,1000,1300,1900,1300,880,880,880,1300,1600,2400,1600
tour 3 đảo nha trang,VND,1600,-32%,-32%,Trung bình,49,2896,8569,,,,,,2400,2400,2400,2900,1900,1000,880,590,1300,1900,1000,1300
nha trang vietnam,VND,1600,0%,26%,Thấp,27,6459,48168,,,,,,1600,1300,1000,1600,1300,1000,1600,1600,1900,2400,1900,2400
hotel in nha trang,VND,1600,0%,-45%,Cao,73,9221,48158,,,,,,3600,1000,1300,1900,1300,880,880,880,1300,1600,2400,1600
hòn tằm nhatrang,VND,1600,48%,0%,Thấp,21,1256,6316,,,,,,1600,2400,2900,2900,1900,880,880,480,590,880,880,1300
thành phố nhatrang,VND,1600,140%,26%,Thấp,2,2221,23279,,,,,,1900,1900,2400,2400,1900,1300,1000,880,880,1000,2400,2400
tp nha trang,VND,1600,140%,26%,Thấp,2,2221,23279,,,,,,1900,1900,2400,2400,1900,1300,1000,880,880,1000,2400,2400
tour du lịch nha trang,VND,1300,60%,0%,Trung bình,50,1710,6467,,,,,,1900,2400,2400,1900,1300,590,720,480,720,1000,1000,1600
tour đảo nha trang,VND,1300,81%,0%,Trung bình,54,2753,9187,,,,,,1600,2400,2900,2400,1600,720,720,590,720,720,1000,1300
vinpearl nha trang resort,VND,1300,30%,-32%,Trung bình,49,1885,14304,,,,,,1600,1600,2400,2400,1600,880,720,590,880,1000,1300,1300
dốc lết nha trang,VND,1300,164%,90%,Thấp,9,1684,12181,,,,,,1000,1300,2400,2400,1600,720,590,390,590,720,1300,1900
kinh nghiệm du lịch nhatrang,VND,320,191%,-18%,Cao,70,236,6312,,,,,,590,720,720,590,320,170,140,70,70,110,170,320
nha trang sài gòn,VND,320,0%,-19%,Trung bình,45,328,6107,,,,,,320,390,480,390,320,210,210,170,210,260,320,260
nha trang về đêm,VND,320,53%,-46%,Thấp,0,,,,,,,,1000,590,320,390,260,210,260,140,210,170,170,260
redsun nha trang hotel,VND,320,52%,0%,Trung bình,50,1350,10637,,,,,,390,390,480,480,320,210,210,170,210,210,210,320
kinh nghiệm du lịch nhatrang,VND,320,191%,-18%,Cao,70,236,6312,,,,,,590,720,720,590,320,170,140,70,70,110,170,320
đảo bình ba nha trang,VND,320,414%,243%,Thấp,10,289,2930,,,,,,320,390,480,480,260,210,170,110,140,140,170,720
đảo hoa lan nha trang,VND,390,129%,-19%,Thấp,32,1205,4122,,,,,,480,590,720,590,390,170,140,90,110,170,260,390
chợ xóm mới nha trang,VND,390,22%,0%,Thấp,2,3040,6343,,,,,,390,390,480,590,480,320,260,260,320,320,320,390
giới thiệu về nha trang,VND,390,84%,-33%,Thấp,1,,,,,,,,720,320,170,210,140,170,590,390,590,320,170,590
khánh hòa nha trang,VND,480,125%,50%,Thấp,1,4230,13784,,,,,,480,390,480,590,390,390,320,720,390,320,480,720
chùa nha trang,VND,480,-19%,23%,Thấp,2,251,1242,,,,,,390,480,480,590,480,390,260,210,320,590,1000,480
chùa ở nha trang,VND,480,23%,0%,Thấp,3,251,794,,,,,,480,480,590,590,590,320,320,260,320,390,880,480
du lịch biển nhatrang,VND,590,86%,-19%,Thấp,29,350,5134,,,,,,390,260,2900,1300,110,110,170,90,110,140,210,260
hang heo nha trang,VND,590,127%,-18%,Thấp,1,123,9552,,,,,,720,880,1000,1000,880,590,320,140,260,260,390,590
nha trang cathedral,VND,590,0%,49%,Thấp,27,3064,18702,,,,,,590,590,590,720,590,390,590,390,720,880,720,880
nha trang market,VND,590,-18%,-18%,Thấp,17,2747,11731,,,,,,720,480,480,590,480,390,390,390,720,880,480,720
trần phú nha trang,VND,590,233%,171%,Thấp,4,2730,19336,,,,,,480,590,720,880,720,320,260,260,320,390,1000,1300
vĩnh hy nha trang,VND,590,296%,296%,Thấp,8,164,5416,,,,,,720,880,590,480,480,320,320,210,320,480,720,1900
nha trang things to do,VND,480,0%,-33%,Cao,97,2469,21138,,,,,,720,390,390,480,320,260,260,260,480,590,480,590
du thuyền nha trang,VND,480,23%,0%,Thấp,28,2448,8853,,,,,,480,590,590,720,480,320,390,590,590,480,480,590
nhà nghỉ giá rẻ nha trang,VND,590,85%,-45%,Trung bình,58,1564,37491,,,,,,1000,480,880,880,590,390,320,320,260,260,1300,480
